UniProt_ID,Non-HMR_HMRPred_Probability,MB_Mebipred_Probaility
B0RMM6,0.997673,0.72
B0T872,0.996108,0.51
B0URU3,0.995236,0.77
B1A983,0.997791,0.4
B1GZ50,0.997002,0.92
B1HMW2,0.964024,0.96
B1HW35,0.991485,0.58
B1HZ05,0.999769,0.61
B1I067,0.9996,0.6
B1ICY3,0.998766,1
B1IVT8,0.998999,0.64
B1JFV4,0.870202,0.98
B1K0Y4,0.953724,0.54
B1KQ65,0.953216,0.71
B1L787,0.996166,0.9
B1LNJ5,0.998999,0.64
B1MX70,0.999785,0.73
B1VEX3,0.996008,0.98
B1WP68,0.997605,0.96
B1WRN9,0.999757,1
B1X3X2,0.999261,0.7
B1XB14,0.998808,0.63
B1XQL3,0.997692,0.98
B1XWQ5,0.999138,0.87
B1YEQ1,0.999856,0.61
B1YKW2,0.999566,0.85
B1YQJ7,0.990107,0.53
B2G9D0,0.998949,0.69
B2GEF7,0.99859,0.69
B2HCT9,0.887162,1
B2IHR5,0.995918,0.46
B2IR81,0.998754,1
B2ITV8,0.991092,0.54
B2JN27,0.999277,0.57
B2S0E5,0.999244,0.94
B2SUW0,0.999022,0.67
B2U9D2,0.986978,0.75
B2V7J5,0.997792,1
B2WBP3,0.996283,0.48
B2XT99,0.961967,0.95
B2XTC6,0.999588,0.98
B2XTQ5,0.961967,0.95
B2XTT2,0.999808,0.99
B3CMJ8,0.990906,0.94
B3CTT3,0.997298,0.79
B3E3S0,0.982119,0.43
B3E848,0.915917,0.98
B3EEF0,0.999916,0.84
B3EKW5,0.999794,0.44
B3LLM2,0.999818,0.95
B3PWT9,0.998866,0.99
B3QJ15,0.998911,0.99
B3QLY4,0.994381,0.93
B3QPZ8,0.999934,0.77
B3QXE1,0.999983,0.66
B3QXR3,0.999229,0.45
B3R4A7,0.992078,0.58
B3R5L8,0.99876,1
B3TN98,0.992719,0.41
B4E7D5,0.952721,0.54
B4F7A1,0.999268,0.97
B4RDV5,0.999891,0.51
B4RJJ2,0.995901,0.6
B4S9F8,0.997886,0.58
B4SFQ3,0.99999,0.71
B4U394,0.994291,0.66
B5E6H3,0.99001,0.72
B5E6K6,0.998242,1
B5EGX9,0.999343,0.44
B5XKX5,0.999724,0.63
B5Z112,0.998658,0.64
B5ZYV3,0.998866,0.99
B6GWX1,0.999697,0.67
B6I5B2,0.998808,0.63
B6J2B4,0.998627,0.83
B6J8U7,0.999103,0.84
B6QHL8,0.992376,0.47
B6QHL9,0.997742,0.47
B6QTV3,0.99982,0.99
B7J208,0.993012,1
B7KA41,0.996827,0.82
B7LDD1,0.998808,0.63
B7M7P2,0.998808,0.63
B7N6C6,0.998812,0.63
B7NRI8,0.998999,0.64
B8AFK5,0.999771,0.68
B8D6T3,0.998781,0.99
B8D8H9,0.998781,0.99
B8DP11,0.99574,0.63
B8EDW5,0.966476,0.65
B8G4I7,0.999741,0.66
B8MP27,0.999886,0.99
B8N9M0,0.999333,0.68
B8ZKP8,0.99001,0.72
B9K8A4,0.951561,0.86
B9M7R9,0.997247,0.69
B9WD12,0.999555,1
B9WHT6,0.999195,0.98
C0HLQ5,0.517076,1
C0NUL6,0.99955,0.97
C1B030,0.974584,1
C1CAN0,0.99001,0.72
C1CC24,0.99001,0.72
C1CIB5,0.99001,0.72
C1CPA6,0.99001,0.72
C3K1G2,0.95931,0.67
C3MQ80,0.929952,0.99
C3MVJ9,0.929952,0.99
C3N5U8,0.929952,0.99
C3NEG4,0.913587,0.98
C3NH88,0.929952,0.99
C3PM83,0.999118,0.62
C4JHR1,0.992953,0.69
C4K168,0.999448,0.61
C4K7A0,0.96202,1
C4KHH7,0.929952,0.99
C4LL08,0.998334,0.92
C4XVW1,0.998384,0.97
C4Y4R9,0.999809,0.64
C4ZXB4,0.998808,0.63
C5DEI4,0.999812,0.26
C5DR94,0.997656,0.83
C5FSQ7,0.996188,0.93
C5GY53,0.99903,0.86
C5K1L1,0.99903,0.86
C6DK98,0.998038,0.52
C6H220,0.999813,0.96
C7GT60,0.999818,0.95
C8ZEH4,0.999818,0.95
C9SBR9,0.999776,0.88
D4DDK2,0.994464,0.55
D8GR69,0.99924,1
G2TRP8,0.998695,0.98
O01369,0.999959,1
O01802,0.950469,0.99
O05642,0.999708,0.99
O13374,0.980247,0.67
O13809,0.999867,0.72
O19901,0.987607,0.94
O19913,0.999288,0.95
O21044,0.999313,0.56
O21048,0.999601,0.56
O24677,0.813505,0.76
O26801,0.999998,0.45
O27114,0.970052,1
O27772,0.999643,0.78
O28249,0.998873,1
O29031,0.999803,0.63
O29781,0.99967,0.97
O30827,0.996034,0.85
O30971,0.99434,0.25
O30973,0.999873,0.68
O32823,0.999914,1
O42919,0.997941,0.64
O42921,0.991357,0.99
O43075,0.999422,0.99
O51056,0.99897,0.75
O51398,0.993025,0.94
O51449,0.873582,0.63
O58496,0.999984,0.96
O59440,0.999794,0.99
O59707,0.992627,0.75
O66561,0.999969,1
O66790,0.999882,0.76
O67672,0.999937,0.94
O74533,0.999702,0.95
O78515,0.977513,0.99
O81332,0.999742,0.98
O83790,0.99954,0.53
O84463,0.963,1
O87324,0.999422,0.41
O87567,0.986239,0.92
O87883,0.998663,0.54
P01734,0.996863,1
P02431,0.997433,0.99
P03895,0.995032,0.31
P05511,0.999784,0.59
P08450,0.998908,0.46
P0A140,0.954756,0.99
P0A141,0.954756,0.99
P0A402,0.974249,0.97
P0A583,0.999864,0.96
P0A5H6,0.99792,0.99
P0A8A0,0.910252,0.5
P0A8A1,0.910252,0.5
P0ABM2,0.994855,0.99
P0ABM3,0.994855,0.99
P0ABM4,0.994855,0.99
P0ABM6,0.98199,0.96
P0ABM7,0.98199,0.96
P0ABM8,0.98199,0.96
P0C375,0.995639,0.43
P0C376,0.995989,0.43
P0C377,0.995639,0.43
P0C889,0.999262,0.47
P0DB06,0.99969,0.62
P0DB07,0.99969,0.62
P11874,0.997109,1
P12214,0.995259,0.62
P14875,0.744916,1
P16447,0.996822,0.51
P17009,0.998791,0.47
P19154,0.994605,1
P20118,0.803443,0.95
P23160,0.999915,0.45
P27319,0.998726,0.6
P30962,0.995205,0.39
P31969,0.994965,0.99
P32102,0.983613,0.64
P32712,0.994333,0.78
P33392,0.937589,0.6
P36180,0.999626,0.48
P37820,0.997625,0.98
P38451,0.988548,0.47
P38453,0.992354,0.6
P38454,0.999155,0.99
P39916,0.999868,0.69
P41650,0.978619,0.72
P42047,0.703296,0.96
P42351,0.999768,0.76
P43020,0.99921,0.58
P43042,0.999943,0.42
P43129,0.993712,0.35
P44202,0.984236,0.58
P44418,0.994144,0.98
P44942,0.99369,0.56
P44944,0.99981,0.54
P44973,0.997106,0.63
P45037,0.998344,0.85
P45403,0.997982,0.37
P45404,0.997962,0.72
P46037,0.999969,0.31
P46268,0.999966,0.99
P46458,0.999921,0.99
P47702,0.999638,0.98
P48257,0.995174,0.48
P49345,0.999978,1
P50971,0.999408,0.65
P51369,0.995877,0.59
P51978,0.99942,0.78
P52219,0.989921,0.57
P52223,0.935467,0.61
P52675,0.999896,0.97
P52677,0.998536,1
P52678,0.999825,0.98
P53212,0.996938,0.9
P54046,0.998171,0.63
P55496,0.99998,0.85
P56315,0.999139,0.41
P56770,0.997254,0.41
P57131,0.999525,0.99
P57399,0.999897,0.95
P60036,0.999432,0.57
P61048,0.990167,1
P61154,0.999987,0.49
P61900,0.985057,1
P61902,0.928502,1
P61903,0.928502,1
P61904,0.993393,1
P61905,0.995159,1
P64948,0.965813,0.5
P66010,0.999864,0.96
P66011,0.999864,0.96
P67175,0.909781,0.5
P67176,0.909781,0.5
P67179,0.901469,0.5
P67180,0.901469,0.5
P71318,0.929366,0.67
P74514,0.999858,0.97
P74909,0.966601,0.78
P75112,0.999059,0.98
P76220,0.989981,0.93
P80327,0.995896,1
P80328,0.958224,0.99
P80331,0.932629,1
P80332,0.962206,1
P80335,0.996074,1
P80336,0.995721,0.95
P80337,0.995999,0.96
P80430,0.999763,1
P80523,0.998558,0.59
P80902,0.999983,0.73
P80906,0.991148,1
P80972,0.996286,1
P80975,0.99674,1
P80978,0.999119,1
P80982,0.9902,0.98
P80983,0.987465,1
P80984,0.994738,1
P81433,0.999824,0.88
P83157,0.987104,1
P83707,0.997527,1
P84628,0.999314,0.49
P94284,0.999933,0.61
P98080,0.999672,0.67
P99101,0.999864,0.96
P99501,0.991625,1
P9WHH0,0.999687,0.38
P9WL31,0.992306,0.62
P9WP44,0.965813,0.5
P9WP45,0.965813,0.5
Q00500,0.999642,0.44
Q02771,0.99992,0.96
Q02XL9,0.999867,0.76
Q03H60,0.999408,0.65
Q03JS2,0.9991,0.99
Q03PJ4,0.999577,1
Q03ZE9,0.996124,0.99
Q045M0,0.992502,0.67
Q04647,0.99965,0.58
Q049B3,0.995507,0.46
Q04HB6,0.999456,0.48
Q04JI5,0.998896,1
Q04ML8,0.99001,0.72
Q06524,0.998608,1
Q06536,0.994109,0.97
Q06FQ5,0.996222,0.44
Q06GK4,0.999083,0.45
Q06GU7,0.995627,0.41
Q07RK6,0.996365,0.99
Q08996,0.997029,0.85
Q09744,0.999894,0.44
Q09FR1,0.998996,0.46
Q09FZ7,0.997886,0.45
Q0BAQ2,0.990277,0.53
Q0BNY1,0.998553,0.94
Q0BQJ9,0.999763,0.61
Q0CGN5,0.999957,0.96
Q0D2D7,0.999649,0.08
Q0HD64,0.975813,0.43
Q0HPE6,0.975885,0.43
Q0I0Z1,0.995986,0.73
Q0I7P7,0.995762,0.45
Q0IAM4,0.998091,0.99
Q0K8J6,0.998688,0.97
Q0MQ97,0.998838,1
Q0RRX8,0.998892,0.58
Q0S1C9,0.993409,0.87
Q0S3F8,0.974584,1
Q0SN67,0.992677,0.93
Q0T1Y0,0.998621,0.64
Q0TGW8,0.909781,0.5
Q0V4P1,0.993951,0.74
Q0V9D9,0.9934,0.32
Q0W1W7,0.9831,0.99
Q0ZIW9,0.994526,0.41
Q11S04,0.999586,0.67
Q12B36,0.997611,0.47
Q12HM8,0.98506,0.97
Q13AK7,0.995843,0.65
Q14FA9,0.998498,0.41
Q15X55,0.921776,0.97
Q16AC6,0.99851,0.78
Q1BSF7,0.94249,0.53
Q1DHX9,0.999945,0.99
Q1G967,0.995507,0.46
Q1GPB7,0.987057,0.97
Q1I2H4,0.977723,0.98
Q1IZM1,0.998457,0.62
Q1J776,0.999692,0.62
Q1JCC9,0.999683,0.63
Q1JHF5,0.999707,0.62
Q1JMB2,0.999683,0.63
Q1LKJ7,0.997285,0.97
Q1LPH7,0.999212,1
Q1MIC3,0.998866,0.99
Q1MPF3,0.994109,0.71
Q1QH68,0.998927,0.7
Q1QNQ1,0.997438,0.92
Q1RAS0,0.909781,0.5
Q1RHV1,0.999464,0.93
Q1RJD8,0.999945,0.51
Q1RKM2,0.995452,0.77
Q1RMH3,0.663857,0.99
Q1WUT6,0.999963,1
Q1XDB8,0.996145,0.8
Q1XDC3,0.999327,0.4
Q1XDC4,0.999454,0.9
Q219B6,0.999533,0.99
Q21DG0,0.995273,0.87
Q2A5M8,0.998553,0.94
Q2FEC4,0.996581,0.89
Q2FSG4,0.995979,0.99
Q2FVP8,0.996581,0.89
Q2GCZ2,0.999908,0.73
Q2GGH5,0.998694,0.7
Q2GJY7,0.995112,0.99
Q2GMG9,0.961133,0.55
Q2H4Y0,0.999942,1
Q2ITC6,0.998749,0.68
Q2JFM8,0.998303,0.72
Q2JNP5,0.999142,0.58
Q2K9J8,0.998705,0.99
Q2L962,0.998411,0.44
Q2M2S5,0.979736,0.67
Q2MI51,0.998753,0.41
Q2NIX2,0.989012,0.73
Q2NNB6,0.996938,0.6
Q2NX52,0.999117,0.76
Q2PMN1,0.997576,0.41
Q2QD41,0.999009,0.42
Q2QY07,0.999954,0.89
Q2RNR2,0.998182,0.64
Q2STM0,0.982925,0.52
Q2UE23,0.999932,1
Q2UGQ3,0.999333,0.68
Q2YAX9,0.93757,1
Q2YZ12,0.996008,0.92
Q318F0,0.997581,0.74
Q318T2,0.999535,0.97
Q31QX6,0.998284,1
Q31XV1,0.9984,0.63
Q322D6,0.893982,0.53
Q32H97,0.932658,0.5
Q332S8,0.998694,0.46
Q36423,0.560101,0.98
Q36425,0.970647,1
Q39BQ2,0.995637,0.54
Q3AHI9,0.999937,0.8
Q3AK79,0.939639,0.62
Q3AMB5,0.998996,1
Q3ANZ7,0.99838,0.97
Q3AS18,0.999784,0.98
Q3AWF7,0.998918,0.99
Q3AXK1,0.592389,0.99
Q3B110,0.981722,0.44
Q3B2Q8,0.999464,0.69
Q3BAH8,0.998291,0.41
Q3C2I0,0.995285,1
Q3J055,0.997636,1
Q3JXI3,0.980377,0.53
Q3K0F9,0.999705,0.91
Q3KLP1,0.969288,1
Q3MFU9,0.999401,1
Q3STP0,0.995913,0.91
Q3SZV6,0.994585,0.98
Q3UY23,0.993467,0.43
Q3YS71,0.999762,0.92
Q3YZ14,0.999271,0.65
Q3Z2M2,0.910252,0.5
Q41228,0.992154,0.98
Q41864,0.995573,0.98
Q46J48,0.999239,0.48
Q46LG5,0.989918,1
Q46VL6,0.996731,0.43
Q473F6,0.999056,0.94
Q483W3,0.997932,0.58
Q48U54,0.999846,0.62
Q49KU9,0.99453,0.41
Q49WI2,0.957436,0.39
Q49ZU9,0.999738,0.55
Q4FGG2,0.997041,0.45
Q4FMZ1,0.968648,0.73
Q4J6Z4,0.996852,0.96
Q4JCM0,0.972492,0.83
Q4K395,0.993996,0.66
Q4L8N5,0.989537,0.6
Q4QLR0,0.996887,0.64
Q4R374,0.903777,0.87
Q4SQJ2,0.996178,0.97
Q4ULM2,0.999654,0.97
Q4ULP1,0.999791,0.52
Q4UN76,0.99899,0.63
Q4UNK8,0.998013,0.65
Q51480,0.999563,0.43
Q53CG4,0.903777,0.87
Q54IA0,0.996091,0.97
Q54M82,0.999798,0.99
Q57717,0.999781,0.49
Q57724,0.999961,0.99
Q57956,0.999506,0.98
Q57N98,0.93518,0.49
Q58441,0.959849,0.69
Q58931,0.983293,0.14
Q58DM7,0.996496,0.69
Q5A7N3,0.999757,0.99
Q5ASG4,0.999923,0.99
Q5B6J9,0.998116,0.67
Q5F4W6,0.994765,0.61
Q5FH31,0.995071,0.46
Q5FL22,0.99728,0.98
Q5FT88,0.999747,0.75
Q5GRV1,0.982424,0.88
Q5GTT3,0.999328,0.67
Q5HBC7,0.996893,0.47
Q5HDI3,0.996581,0.89
Q5HHQ4,0.999864,0.96
Q5HLG6,0.638155,0.94
Q5HQW4,0.998595,0.92
Q5HZS2,0.999696,0
Q5JJG9,0.999839,0.96
Q5KVP7,0.997715,0.65
Q5KWQ7,0.999654,0.93
Q5KXL9,0.997294,0.57
Q5LC41,0.986548,1
Q5LW40,0.998146,0.79
Q5LYY3,0.9991,0.99
Q5M3J6,0.9991,0.99
Q5N3C1,0.998284,1
Q5PAR7,0.997865,0.61
Q5PMZ4,0.901469,0.5
Q5R4D2,0.99979,0.66
Q5REC3,0.997823,0.97
Q5WAF1,0.999794,0.65
Q5WDV1,0.996387,0.62
Q5WGY8,0.996892,0.98
Q5XCQ2,0.999683,0.63
Q5YZ36,0.998703,0.57
Q62EM4,0.977276,0.53
Q632D6,0.996457,0.74
Q63YW1,0.980377,0.53
Q64T26,0.987361,1
Q65FE0,0.988994,0.97
Q65GY3,0.999669,0.53
Q65HX8,0.994601,0.99
Q661H9,0.998156,0.99
Q66IS8,0.999202,0.86
Q67QU3,0.999744,1
Q68RV7,0.998793,0.41
Q68WM0,0.999722,0.65
Q68WT3,0.999829,0.5
Q68XS4,0.999558,0.47
Q6AYA6,0.997358,0.36
Q6B926,0.998219,0.45
Q6BI17,0.999686,0.99
Q6BQH4,0.996081,0.99
Q6C188,0.998038,0.62
Q6C3K7,0.999954,0.95
Q6C5S0,0.999415,0.55
Q6C7L4,0.999065,0.74
Q6CBQ8,0.999145,0.99
Q6CJX2,0.994513,1
Q6CMC0,0.998785,0.53
Q6CWJ6,0.999803,0.97
Q6CWT4,0.999751,0.93
Q6DGA7,0.999746,0.58
Q6DH88,0.999938,0.46
Q6ENA8,0.995989,0.43
Q6F0R9,0.998456,0.7
Q6FR37,0.99895,0.38
Q6FR39,0.995833,0.76
Q6FS31,0.995366,0.99
Q6FS36,0.995219,0.95
Q6FT82,0.999426,0.68
Q6G6U7,0.996008,0.89
Q6GB66,0.999864,0.96
Q6GE59,0.997068,0.74
Q6GIM7,0.999854,0.96
Q6HBX6,0.996457,0.74
Q6HP49,0.999646,0.47
Q6K7S7,0.999868,0.7
Q6L1Y6,0.999451,1
Q6M099,0.846895,0.6
Q6N2U4,0.998911,0.99
Q6NG99,0.999594,0.99
Q6NJ84,0.998787,0.95
Q6PBI8,0.999693,0.68
Q70XW4,0.996766,0.45
Q71V10,0.994159,0.99
Q71V11,0.994159,0.99
Q71V12,0.994159,0.99
Q71V13,0.994159,0.99
Q71V14,0.994159,0.99
Q71V16,0.994159,0.99
Q71V17,0.994159,0.99
Q71V18,0.994159,0.99
Q71V19,0.994159,0.99
Q71V20,0.994159,0.99
Q71V22,0.994159,0.99
Q71VG8,0.994159,0.99
Q71X35,0.992255,0.94
Q71Y53,0.99615,0.98
Q72I22,0.966601,0.78
Q72LG3,0.997343,0.53
Q72YF6,0.996457,0.74
Q73B22,0.999381,0.48
Q73EA6,0.997823,0.49
Q73GH2,0.991783,0.52
Q73S91,0.98963,0.99
Q746Q2,0.997566,0.53
Q74KS6,0.997295,0.7
Q753H4,0.998634,0.82
Q75F70,0.999958,0.98
Q75KA9,0.997337,1
Q7A3W1,0.99772,0.88
Q7MXR6,0.999659,1
Q7N4V9,0.93857,0.6
Q7NBE9,0.999588,0.62
Q7NJ10,0.999946,0.83
Q7S2H6,0.998189,0.37
Q7SDU5,0.999904,0.71
Q7T0X7,0.997421,0.64
Q7U8Y8,0.999656,0.58
Q7V028,0.999736,0.64
Q7V5R7,0.99798,0.93
Q7V806,0.999198,0.64
Q7VA54,0.999508,0.94
Q7VFS1,0.999771,0.73
Q7VJY0,0.956754,1
Q7YRK0,0.998038,1
Q7Z7S3,0.999778,0.88
Q800L1,0.996661,0.75
Q814F4,0.955712,0.42
Q815V9,0.970104,1
Q816D9,0.996779,0.74
Q81FU5,0.995456,0.98
Q81SZ9,0.993409,0.48
Q81XS0,0.996457,0.74
Q81ZB7,0.999646,0.47
Q82ZZ8,0.999886,0.54
Q838A9,0.999874,0.63
Q83G03,0.873724,0.95
Q83K38,0.998999,0.64
Q83N53,0.978305,0.96
Q85A51,0.993612,0.69
Q88NJ3,0.994211,0.52
Q88UC0,0.999762,1
Q89AJ2,0.999935,0.98
Q89B34,0.998685,0.95
Q89HV6,0.996479,0.97
Q8AA76,0.968783,1
Q8CMK4,0.638155,0.94
Q8CPY8,0.998595,0.92
Q8CTK9,0.999538,0.73
Q8CWV1,0.99001,0.72
Q8CXF3,0.984259,0.99
Q8D1Z4,0.942206,0.7
Q8DIH3,0.997957,0.61
Q8DP13,0.998896,1
Q8DUN5,0.999168,0.95
Q8DYW9,0.999705,0.91
Q8E4H8,0.999705,0.91
Q8ENX4,0.996899,0.5
Q8ETS1,0.999243,0.59
Q8EWR4,0.998987,0.99
Q8FNQ8,0.990708,0.39
Q8FPK2,0.99174,0.79
Q8JGM8,0.992846,0.52
Q8KGG2,0.999546,0.85
Q8MNU7,0.959206,1
Q8MYM9,0.999235,0.95
Q8NV36,0.996008,0.89
Q8P1F2,0.999683,0.63
Q8P338,0.998289,0.65
Q8PEH7,0.999706,0.71
Q8R6K6,0.969441,0.99
Q8RIE0,0.998409,0.34
Q8S8U8,0.999361,0.42
Q8TRS6,0.997949,0.7
Q8U9K1,0.915033,0.62
Q8VE38,0.994289,0.78
Q8X5S3,0.993914,0.77
Q8XA73,0.998658,0.64
Q8XH28,0.996884,1
Q8Y0A5,0.998277,0.94
Q8Y4P5,0.992507,0.87
Q8Y5U4,0.998363,0.63
Q8Y6Z5,0.999915,0.65
Q8YUT3,0.999853,1
Q8YYB4,0.999442,0.98
Q8ZAU2,0.99948,0.99
Q928B5,0.999956,0.99
Q928P3,0.990477,0.87
Q92A47,0.999271,0.97
Q92BH9,0.999822,0.71
Q92HU0,0.99998,0.39
Q92HY3,0.999379,0.92
Q92I02,0.999729,0.5
Q92JJ3,0.999135,0.61
Q93SN7,0.999167,0.99
Q96YN9,0.998009,0.77
Q975K1,0.993951,0.98
Q97PP0,0.998754,1
Q97SU4,0.99001,0.72
Q97WJ5,0.998826,0.82
Q98M06,0.998053,0.95
Q98N39,0.991547,0.8
Q98PK9,0.999889,0.57
Q99RQ5,0.996581,0.89
Q9A0B5,0.999644,0.62
Q9BBP4,0.996855,0.4
Q9CCF0,0.993997,0.53
Q9CF34,0.999795,0.99
Q9CQE2,0.999234,0.42
Q9GP40,0.999513,0.99
Q9HPB3,0.988653,0.99
Q9I3N0,0.998864,0.51
Q9I8I2,0.968401,0.91
Q9I9H8,0.996105,0.43
Q9JW48,0.998244,0.59
Q9JXS4,0.999546,0.59
Q9K7F3,0.998831,0.99
Q9KCJ4,0.99993,0.94
Q9KDL8,0.992476,0.98
Q9KSS4,0.999965,0.64
Q9MUM3,0.940795,1
Q9N5N8,0.985059,0.97
Q9PJT5,0.996233,1
Q9PKT7,0.999954,0.95
Q9PNX7,0.999302,0.85
Q9PR71,0.999484,0.73
Q9QXU2,0.996709,0.58
Q9RCA5,0.925837,0.64
Q9RF98,0.998733,0.99
Q9RSH5,0.968201,0.86
Q9S1E4,0.998046,0.98
Q9T070,0.997652,0.99
Q9US28,0.999409,0.55
Q9UTB4,0.999775,1
Q9UZ56,0.999994,0.93
Q9X1H2,0.992251,0.44
Q9X5P2,0.998699,0.88
Q9X725,0.933645,0.55
Q9XIA4,0.999292,0.97
Q9Z7Y0,0.997166,0.36
Q9Z8M4,0.998316,0.88
Q9ZD33,0.999397,0.79
Q9ZD88,0.999834,1
Q9ZD97,0.999674,0.53
Q9ZE97,0.99955,0.59
Q9ZFU3,0.921932,1
Q9ZKB5,0.949262,0.52
Q9ZL18,0.997616,0.49
Q9ZMJ9,0.994101,0.49
Q9ZZX0,0.999564,0.63
S0DRX0,0.999662,0.33
W6Q0S4,0.999968,0.63
W6Q1E9,0.999973,0.74
W6QRI9,0.999171,0.78
W7N2B2,0.999824,0.31
A0KIF9,0.994078,0.58
A0L4W1,0.982982,0.7
A0LGY9,0.998385,0.61
A0LUK8,0.996292,0.98
A0PSY4,0.995008,0.59
A0PZU0,0.995655,0.5
A0QIC5,0.994864,0.69
A0RN42,0.998402,0.43
A1ASF6,0.998119,0.68
A1AW54,0.992058,0.76
A1KLV3,0.991956,0.68
A1R727,0.989916,0.96
A1SJA3,0.93232,0.49
A1T879,0.998683,0.62
A1TS27,0.999576,0.61
A1U2L4,0.985341,0.96
A1UR98,0.971791,0.97
A1WQN6,0.987211,0.48
A2SFG0,0.972563,0.5
A3N1F5,0.997803,0.43
A3PM44,0.99832,1
A4FBA3,0.991152,0.72
A4SG34,0.998706,0.96
A4TD17,0.999509,0.74
A4WQ19,0.997446,1
A4X5V5,0.985633,0.72
A5F1N4,0.981591,0.64
A5FS26,0.999555,0.49
A5G9Y5,0.989377,0.91
A5GN83,0.999686,0.99
A5IBD9,0.974411,0.7
A5IZA0,0.99972,0.94
A5U5V4,0.991956,0.68
A5UAH5,0.993511,0.43
A5UGD1,0.993511,0.43
A6GXW2,0.999424,0.97
A6LBD0,0.999688,1
A6Q2G5,0.996571,0.61
A6WCI2,0.970084,0.92
A7HM20,0.997884,0.79
A7HUZ5,0.96337,0.51
A7IJU9,0.965145,0.88
A7NBV2,0.999806,0.57
A8AFH7,0.957299,0.51
A8GFJ0,0.940885,0.42
A8GVY2,0.999477,1
A8IM90,0.974584,0.91
A8KZE9,0.995178,0.88
A8LWZ6,0.996017,0.69
A8MHN6,0.999778,0.55
A8YUH0,0.998711,0.94
A9ITM2,0.737436,0.98
A9IYI8,0.94078,0.99
A9KF43,0.995508,0.83
A9N9A0,0.995508,0.83
B0BQ92,0.998129,0.43
B0S1S1,0.999098,0.97
B0S959,0.997645,0.65
B0SJP0,0.997645,0.65
B0TZD8,0.999723,0.62
B0U2D9,0.99867,0.86
B0UVY2,0.922797,0.45
B1AIT3,0.979737,0.95
B1I8C4,0.999242,0.99
B1LUU4,0.967406,0.64
B1MCJ6,0.992647,0.63
B1W3G1,0.993696,1
B1Z942,0.972914,0.63
B2A5L8,0.999331,0.57
B2GB45,0.999498,0.45
B2GIM1,0.998872,1
B2HN50,0.995008,0.59
B2I4S7,0.998974,0.86
B2IDE7,0.985949,0.57
B2IM11,0.999497,0.99
B2J7Y8,0.999674,0.84
B2S1L3,0.995738,0.99
B2S369,0.998738,0.55
B2U8Z2,0.982542,0.51
B2UQ11,0.998189,0.79
B2V8P8,0.998883,0.67
B3CNE0,0.999934,0.55
B3EMM7,0.998091,0.88
B3GY39,0.997803,0.43
B3PYY8,0.991228,0.65
B3QHR9,0.996508,0.96
B4R9L7,0.995452,0.91
B4RMZ8,0.998248,0.62
B4RWE1,0.993597,0.95
B4S5F5,0.999511,0.98
B4SDW5,0.987464,0.98
B4ST36,0.993203,0.45
B4U7S7,0.999728,0.59
B5E2C6,0.999497,0.99
B5EAH0,0.962138,0.97
B5ESS5,0.980603,0.68
B5RLN2,0.990266,0.8
B5RQK7,0.995333,0.8
B5Y8Y9,0.999835,0.62
B5ZBA5,0.99409,0.59
B5ZP73,0.981509,0.64
B6IYU5,0.995508,0.83
B6J503,0.995508,0.83
B7GR15,0.999807,0.99
B7IHX7,0.993954,0.64
B7J0W4,0.99897,0.75
B7L273,0.963118,0.65
B8E2P4,0.99993,0.54
B8EIB7,0.999236,1
B8F5G8,0.997969,0.51
B8FQV9,0.996646,0.91
B8H462,0.99415,0.73
B8H9D9,0.996102,1
B8HYK3,0.999772,0.69
B8J4I9,0.990001,0.74
B8ZNM3,0.999497,0.99
B9DTN4,0.999307,0.96
B9JRY6,0.987527,0.56
B9L8T4,0.999325,0.66
B9MQH7,0.998938,0.93
C0QT62,0.998887,0.84
C0R1L5,0.999067,0.66
C0R5P2,0.999633,0.97
C0Z8Y8,0.999514,0.76
C0ZZ45,0.991321,0.96
C1AF74,0.991956,0.68
C1B4C8,0.992823,0.87
C1C9J1,0.999497,0.99
C1CGK9,0.999497,0.99
C1CMM9,0.999497,0.99
C1CTF2,0.999497,0.99
C1F121,0.999755,0.73
C3LU38,0.981591,0.64
C3PNU7,0.999968,1
C4K280,0.99994,1
C4LBN3,0.997897,0.51
C5CCI4,0.985529,0.99
C5D5F1,0.999634,0.96
C6E1T1,0.968751,0.97
O59961,0.99917,0.84
O66545,0.999633,0.94
O67517,0.999785,0.99
O83487,0.998738,0.55
P30344,0.991689,0.99
P32039,0.987197,0.5
P38452,0.995357,0.99
P43394,0.999947,0.97
P44634,0.993511,0.43
P55493,0.999941,0.7
P55494,0.981748,0.93
P55495,0.999498,0.72
P62037,0.998798,0.99
P62040,0.996508,0.96
P62043,0.999528,0.97
P65050,0.992306,0.62
P67178,0.991956,0.68
P67186,0.999497,0.99
P67187,0.999497,0.99
P67191,0.99786,1
P67192,0.99786,1
P84733,0.99825,0.98
P9WGA4,0.991956,0.68
P9WGA5,0.991956,0.68
P9WL30,0.992306,0.62
Q01TY1,0.999796,0.91
Q03ML4,0.999526,0.93
Q042I3,0.998908,0.99
Q04BD3,0.998748,0.6
Q04FS7,0.999587,0.5
Q04IN9,0.999497,0.99
Q04V34,0.99932,0.93
Q04YE4,0.999387,0.93
Q0AX12,0.956244,0.79
Q0BM66,0.999806,0.57
Q0BT57,0.998596,0.5
Q0C5U8,0.992011,0.81
Q0I244,0.922797,0.45
Q0I7Z0,0.999163,0.97
Q0SPD9,0.999147,0.74
